# Time: 2074.52839139, A = 0.240483600384, alpha = 0.578401338548
1960.0 ,19.1881801369, 0.721751115244
1980.0 ,19.3119276103, 0.736051669701
2000.0 ,19.2133579748, 0.699198894787
2020.0 ,19.463691128, 0.737848575406
2040.0 ,19.6478984029, 0.737203558295
2060.0 ,19.8373506476, 0.73997390887
2080.0 ,19.8058496574, 0.762542664853
2100.0 ,20.0268949051, 0.773180639548
2120.0 ,20.0925092716, 0.750334131354
2140.0 ,20.43273627, 0.771093291916
2160.0 ,20.3922387456, 0.760707909385
2180.0 ,20.3962439166, 0.716971959258
2200.0 ,20.4633130769, 0.756249820962
2220.0 ,20.769046685, 0.785340734522
2240.0 ,21.0514269911, 0.830156360767
2260.0 ,20.9549450033, 0.809388653005
2280.0 ,20.9466794233, 0.81407951207
2300.0 ,21.0141493763, 0.82871944494
2320.0 ,21.333060312, 0.855849679731
2340.0 ,21.4235544088, 0.878688755278
2360.0 ,21.4047937807, 0.868054161608
2380.0 ,21.5491341147, 0.893381555729
2400.0 ,21.6324617618, 0.941428936035
2420.0 ,21.5963995397, 0.895863739808
2440.0 ,21.4987825646, 0.909804583577
2460.0 ,21.5091935275, 0.892640966
2480.0 ,21.6837906094, 0.869532857608
2500.0 ,21.7102855101, 0.891199818696
2520.0 ,22.064513348, 0.918419074544
2540.0 ,22.0629116885, 0.905202659995
2560.0 ,21.9509527404, 0.894608544515
2580.0 ,21.816122435, 0.88280844569
2600.0 ,21.8183572775, 0.874826347824
2620.0 ,21.7948757764, 0.870901422811
2640.0 ,21.8268070389, 0.882000989377
2660.0 ,21.536787775, 0.869538185525
2680.0 ,21.6689587352, 0.848492700756
2700.0 ,21.5330283186, 0.831287306721
2720.0 ,21.3374910693, 0.855062234538
2740.0 ,21.1303454154, 0.837762978334
2760.0 ,21.4789449605, 0.890446960722
2780.0 ,21.4637771549, 0.874846188722
2800.0 ,21.6638982719, 0.850310714356
2820.0 ,21.6961236876, 0.813458595003
2840.0 ,21.7720442755, 0.825701231612
2860.0 ,21.8114455728, 0.848884323697
2880.0 ,22.0661988133, 0.870831865015
2900.0 ,22.1140492094, 0.831049486583
2920.0 ,22.0759146331, 0.864312596373
2940.0 ,22.1449177422, 0.874284586441
2960.0 ,22.2722658489, 0.883509531239
2980.0 ,22.2926901609, 0.886375698172
3000.0 ,22.478874748, 0.909593217998
3020.0 ,22.4207208041, 0.913086836293
3040.0 ,22.4310539936, 0.940348985139
3060.0 ,22.498919792, 0.93683598659
3080.0 ,22.5459513222, 0.948673414983
3100.0 ,22.5368001924, 0.948634636863
3120.0 ,22.8002405558, 0.946818526261
3140.0 ,23.0730202206, 0.961634483642
3160.0 ,22.8483074686, 0.960084538625
3180.0 ,22.8348636987, 0.984324158026
3200.0 ,22.8852052415, 0.984969369597
3220.0 ,23.2951034033, 1.01659279584
3240.0 ,23.3041103697, 1.02848214583
3260.0 ,23.3019870013, 0.999219131022
3280.0 ,23.3238880591, 1.05597296785
3300.0 ,23.4479800779, 1.03121664916
3320.0 ,23.7053050986, 1.0626302885
3340.0 ,23.9259118181, 1.09490902338
3360.0 ,23.8429132053, 1.1012158358
3380.0 ,23.9285108133, 1.08651354756
3400.0 ,24.119359375, 1.12554836087
3420.0 ,23.9005357176, 1.11995477482
3440.0 ,24.3246706512, 1.11688912036
3460.0 ,24.2604646745, 1.09930507084
3480.0 ,24.3389889145, 1.12979361764
3500.0 ,24.2806435483, 1.11286094447
3520.0 ,24.2391897318, 1.1068758458
3540.0 ,24.6457098746, 1.15006887948
3560.0 ,25.0176629557, 1.1880838166
3580.0 ,25.0860497336, 1.19061517816
3600.0 ,25.1085351386, 1.18444272288
3620.0 ,25.4195100887, 1.23116626548
3640.0 ,25.7697801131, 1.23843072241
3660.0 ,25.9641513991, 1.25203452482
3680.0 ,26.2530824919, 1.29932020481
3700.0 ,26.442909251, 1.31457055209
3720.0 ,26.4499039528, 1.27001136003
3740.0 ,26.685078268, 1.28813976968
3760.0 ,26.7787733089, 1.3080693414
3780.0 ,26.8710922852, 1.34273594991
3800.0 ,26.7690642916, 1.357419168
3820.0 ,26.8441710945, 1.34759257368
3840.0 ,26.8620644352, 1.3362419846
3860.0 ,26.8827577206, 1.33039664277
3880.0 ,27.098616517, 1.31202235637
3900.0 ,27.2947533498, 1.33614537956
3920.0 ,27.5048659409, 1.33448395436
3940.0 ,27.4811749118, 1.32264440154
3960.0 ,27.3523833838, 1.32124687607
3980.0 ,27.4060859587, 1.30926546779
4000.0 ,27.5973255875, 1.34557794369
4020.0 ,27.753592592, 1.3622755474
4040.0 ,27.9773464813, 1.41216342506
4060.0 ,27.9485800502, 1.36583852838
4080.0 ,28.4071127989, 1.3922854073
4100.0 ,28.7918087999, 1.39850403915
4120.0 ,29.1115261258, 1.39727965922
4140.0 ,29.4543938259, 1.41805098608
4160.0 ,29.4022248345, 1.41078714346
4180.0 ,29.4136463917, 1.40794607203
4200.0 ,29.5462343943, 1.39997789681
4220.0 ,29.775643257, 1.40033518539
4240.0 ,29.4380928891, 1.38366321415
4260.0 ,29.5684837991, 1.39020073391
4280.0 ,29.7414002546, 1.41225571758
4300.0 ,29.8386735845, 1.44445525852
4320.0 ,30.1143953908, 1.42800384614
4340.0 ,30.2794979738, 1.44987775801
4360.0 ,30.356661351, 1.43353769069
4380.0 ,30.5894056168, 1.46762115812
4400.0 ,30.6111519155, 1.46377073705
4420.0 ,30.8631629158, 1.4961579689
4440.0 ,31.056465793, 1.51646445916
4460.0 ,31.2136788549, 1.5461707369
4480.0 ,31.485523472, 1.56793146559
4500.0 ,31.5357637634, 1.60391695109
4520.0 ,31.4926117073, 1.59987493431
4540.0 ,31.4406572668, 1.57790214789
4560.0 ,31.3392375112, 1.5390479456
4580.0 ,31.2545460056, 1.49611238663
4600.0 ,31.6170059146, 1.52379763993
4620.0 ,31.6830968623, 1.54864718909
4640.0 ,31.9355682336, 1.5616469321
4660.0 ,31.9153384832, 1.54618085774
4680.0 ,31.7625748589, 1.56285737181
4700.0 ,31.8876912397, 1.54644043189
4720.0 ,32.3236558116, 1.60010689845
4740.0 ,32.589073478, 1.61280157054
4760.0 ,32.7530184495, 1.61348467172
4780.0 ,32.9730619034, 1.65473868794
4800.0 ,33.1319596536, 1.66099274776
4820.0 ,33.1509791532, 1.64682156628
4840.0 ,33.3273515113, 1.68023076113
4860.0 ,33.3494225207, 1.66053195688
4880.0 ,33.7095411794, 1.68734273272
4900.0 ,34.2145728139, 1.71996428246
4920.0 ,34.0153205311, 1.68830679072
4940.0 ,33.9686695825, 1.69121626769
4960.0 ,34.1252557646, 1.75524960936
4980.0 ,34.4329547756, 1.78909960358
5000.0 ,34.307623085, 1.79764652196
5020.0 ,34.4786258528, 1.81950800705
5040.0 ,34.4610568012, 1.74679690472
5060.0 ,34.7385908682, 1.72558834533
5080.0 ,34.8555908365, 1.77934814587
5100.0 ,34.8646161107, 1.78980609437
5120.0 ,35.1309955684, 1.80431446136
5140.0 ,35.1115852998, 1.80271297846
5160.0 ,35.0139012996, 1.77434090684
5180.0 ,35.1115997482, 1.81003488284
5200.0 ,35.2973069737, 1.8042149811
5220.0 ,35.5186266735, 1.85603225727
5240.0 ,35.4919835547, 1.85443688879
5260.0 ,35.527405709, 1.8417000138
5280.0 ,35.0893325263, 1.82920736935
5300.0 ,35.1862376931, 1.85373443486
5320.0 ,35.1924684262, 1.86232008965
5340.0 ,35.5391940505, 1.87652117586
5360.0 ,35.2663155277, 1.87649192723
5380.0 ,35.4808430508, 1.8999752076
5400.0 ,35.7523431038, 1.95946300199
5420.0 ,35.7520156977, 1.94755923193
5440.0 ,36.0047455368, 1.96618474666
5460.0 ,35.8583781637, 1.94123620639
5480.0 ,36.2000481877, 1.97824353209
5500.0 ,36.1096962712, 1.96258030649
5520.0 ,36.1109731238, 1.97887911027
5540.0 ,36.0641773048, 1.96359832248
5560.0 ,36.1129156287, 1.93736963766
5580.0 ,35.849874235, 1.90347544622
5600.0 ,35.7278533923, 1.91760587211
5620.0 ,35.9475725699, 1.92005536186
5640.0 ,35.9881849859, 1.90373183208
5660.0 ,35.9812727211, 1.90014592686
5680.0 ,35.8970988263, 1.91147901553
5700.0 ,35.8725075399, 1.91690228755
5720.0 ,36.2821846457, 1.97565653698
5740.0 ,36.3655424831, 1.98715107159
5760.0 ,36.5687933041, 1.97982904864
5780.0 ,36.4497926955, 2.01090587599
